"census_tract","pct_unemployed","pct_commute_public_transit","median_household_income","mean_household_income","pct_child_uninsured","pct_families_below_poverty_line"
42101000100,2.6,33.4,103772,124525,33.9,1.7
42101000200,7.6,22,50455,99337,6.5,13.7
42101000300,4.6,11.5,93036,121867,3.3,3.4
42101000401,5.9,21.8,57604,83354,0,23.2
42101000402,2,14.6,70038,92625,0,0
42101000500,12.3,20.6,40568,60813,9.1,0
42101000600,6.5,13.8,71250,95177,0,3.8
42101000700,2.5,31.7,51279,94942,21.4,4.7
42101000801,2.1,6.9,91453,126632,0,2.5
42101000803,3.1,11.6,60915,97095,0,1.1
42101000804,4.2,14.6,96103,149413,0,0
42101000901,7,22.2,41926,54331,0,14.2
42101000902,1,13.7,51029,121644,0,13.9
42101001001,1.7,21.3,87813,155665,0,1.6
42101001002,5.2,19.3,109850,171273,9.5,2.7
42101001101,5.6,23.8,74545,105356,7.3,9.9
42101001102,2.7,26.7,81719,94419,10.8,15.5
42101001201,2.7,14.5,100463,178699,0,0
42101001202,3.2,16.8,76358,129882,0,0
42101001300,4,18.7,90074,116790,0,0
42101001400,4.3,12.7,65994,99217,0,4.9
42101001500,3.3,26.3,62930,103212,2.4,10.6
42101001600,3.9,25.9,75217,119221,0,0
42101001700,2.3,16.2,94861,129056,5.9,0.7
42101001800,2.9,17.1,88125,115595,14.5,7.9
42101001900,6.3,18.2,80272,100724,0,5.4
42101002000,14.9,24.9,39318,52580,0,12.5
42101002100,9.2,35.3,49911,61770,0,17.6
42101002200,8.5,33.3,48906,71923,2,26.5
42101002300,8.6,29.6,51167,73347,25.6,3.7
42101002400,7.9,25.9,61162,84101,2.6,8.6
42101002500,9.8,18.1,60795,86091,6.5,9.6
42101002701,12.5,39.8,47806,55498,2.5,28
42101002702,8,18.8,60500,78959,0,6.6
42101002801,7.4,37.2,43894,57727,7.9,21.4
42101002802,4.8,33.1,54214,66166,0,1
42101002900,6.1,29.9,51233,74082,23.9,13.7
42101003001,6.4,36.6,42903,57276,10.2,23.2
42101003002,6.6,45.9,29942,57085,4,15.1
42101003100,15.9,38.4,28443,37938,2.6,21
42101003200,19.3,50.9,27256,39146,11.3,32.2
42101003300,24.1,29.2,28006,37427,0,28.6
42101003600,19.8,30.5,18969,32743,0.9,37.9
42101003701,20.6,38.3,33887,42456,2.9,24.5
42101003702,19.6,39,33324,39928,1.4,17.3
42101003800,8.8,34.4,51078,67233,2.7,7.2
42101003901,5.1,30.6,34759,58939,9.9,17.2
42101003902,8.4,26.6,62587,68378,0,7
42101004001,9,40.1,45396,60265,0,22.8
42101004002,12.7,41.7,52732,60406,2.2,7.4
42101004101,20.1,43.2,28503,37632,2.3,39.3
42101004102,10,33.2,38808,46264,3.6,32
42101004201,16.8,30.6,46033,58435,8.5,13.4
42101004202,13.4,27,45341,54092,0,13
42101005000,NA,NA,NA,NA,NA,NA
42101005400,9.3,19.5,51550,64812,2.2,3.4
42101005500,10.6,26.9,44333,52526,1.1,13.7
42101005600,25.1,33.7,25966,35481,0,40.8
42101006000,14.6,28.6,35053,43032,0,29.7
42101006100,11,28.6,31500,43530,0,20.3
42101006200,11,44.3,32368,46257,7.6,34.4
42101006300,29.2,38.7,25871,35607,5.7,32.8
42101006400,13.3,30.5,32256,41838,8.3,24.3
42101006500,19.4,56.3,26435,36703,0,14.4
42101006600,15.8,47,16560,29730,9.2,29.9
42101006700,20.9,42.2,32727,37108,4.1,21
42101006900,37,79.9,15899,22414,1.7,56.9
42101007000,25.8,44.5,26776,34912,17.1,25.1
42101007101,17.7,46.6,25000,31121,2.1,22.3
42101007102,14.2,43.2,30329,37062,3.5,32
42101007200,24.3,41.2,31852,41191,1.5,35.9
42101007300,19,46.5,25369,39374,0,22.1
42101007400,14.1,44.6,21502,41619,4.6,33.1
42101007700,9.1,29.7,27159,47095,16.1,17.9
42101007800,8.2,29.2,36069,55021,0,3.6
42101007900,7.2,41.7,56944,79298,5.1,5.1
42101008000,22.8,37.7,36886,57750,8.7,28
42101008101,26.2,38.8,17433,30489,10.4,42.1
42101008102,17.6,50.4,29350,37585,4.6,28.7
42101008200,34.7,50.1,36239,42754,6.7,21.7
42101008301,21.8,56.2,29770,39015,10.2,23.2
42101008302,14.9,60.4,31202,39215,3.5,29.9
42101008400,17.8,37.3,31122,37906,9.1,30.3
42101008500,15.9,49,28201,36903,0,37.2
42101008601,9.1,36,39115,61509,0,16.7
42101008602,6.8,52.8,36397,42346,0,23.8
42101008701,3.2,32.5,39821,49114,0,15.6
42101008702,2.3,18.3,31212,51247,4,13.4
42101008801,3,3.9,11473,27148,0,0
42101008802,5.2,19.4,17105,28835,25.7,7.7
42101009000,10.8,29.3,16895,37878,0,10.6
42101009100,12.9,41.2,16688,30929,0,28.1
42101009200,10.4,50.8,19028,29946,2.4,38.1
42101009300,19.5,47.8,26814,33230,0,21.7
42101009400,19.2,49.1,18408,31068,4.6,41.5
42101009500,12.3,53.2,27708,33932,20,32.9
42101009600,15.2,39.4,24402,33784,1.2,39.1
42101009801,12.8,29.9,42906,52209,7.2,16.1
42101009802,6.9,33.6,51646,55525,1.9,20.2
42101010000,8.6,30.8,39225,43950,0.9,20.4
42101010100,18,59.4,32064,47988,4.7,20.7
42101010200,12,43.4,16071,28744,2.1,37.4
42101010300,14.2,48.9,24559,35720,5.7,40.6
42101010400,26.4,50.7,26731,33374,2.1,38.2
42101010500,16.4,45.5,15726,32557,3.3,34.7
42101010600,25.9,42.7,14375,26890,3,41.7
42101010700,14.3,47.8,20840,28467,3.2,31.6
42101010800,15.5,40.8,20861,30803,2.1,42
42101010900,8.5,30.5,20682,32871,6.8,46.1
42101011000,15.3,44.2,16627,31217,2.7,45.4
42101011100,22.6,55,19098,30363,0,37.6
42101011200,9.4,43.4,26531,36197,0,20.2
42101011300,10.4,36,34495,39774,0,22.5
42101011400,7.3,39.5,47271,56155,0,18.1
42101011500,13.7,30.4,47349,56789,5.9,11.8
42101011700,15.3,19.5,63333,79638,7.2,7.4
42101011800,14.3,31.9,37390,48070,12.2,16
42101011900,11.7,42.1,30854,40075,5.4,18.9
42101012000,13.3,19.6,53182,62679,0,6.3
42101012100,8.7,29.8,35380,45861,8.6,27.3
42101012201,5.4,19.5,20726,38885,0,18.5
42101012203,6.5,31.8,38438,43685,0,6.4
42101012204,10.6,17.7,44233,53891,5.1,13.4
42101012500,4,9.7,70192,113169,24.9,1.2
42101013100,19.7,28.4,33164,50616,5.9,33.5
42101013200,22.2,37.2,18472,36808,0,26.6
42101013300,11.7,25.8,55063,73648,2.6,28.3
42101013401,3,20.3,83423,118921,0,0
42101013402,3.5,15.8,76220,96967,4.4,0
42101013500,3.6,22.3,55313,82678,5.3,10.8
42101013601,3.6,19.8,101213,128427,0,4.9
42101013602,4.2,23.1,78250,100328,0,8.7
42101013700,10.5,37.2,39696,66013,0,24.9
42101013800,15.8,19.6,28534,41352,4.8,24.2
42101013900,13.4,37.8,14314,30200,1.4,47.7
42101014000,11.7,49,24474,36123,3.7,33.4
42101014100,17.9,28.9,19167,43450,0,20.5
42101014200,1.5,21.2,85765,115164,4.4,0
42101014300,6.1,21.8,64167,95890,3.9,3.7
42101014400,10.7,24.9,54393,62740,9.4,28.2
42101014500,9.2,28,20859,37043,0,32.4
42101014600,10.9,32,28558,42431,1.3,18.3
42101014700,8.9,36.4,12460,29392,0,33.8
42101014800,12.5,50.6,25000,33571,0,21.6
42101014900,24.8,46.9,16933,27099,0.9,28.9
42101015101,14.3,64,30051,38542,0,35.5
42101015102,27.8,54.9,13750,24313,4.6,45.5
42101015200,18.1,45.1,19105,27146,6.7,55.4
42101015300,13.2,30.3,16075,22727,0,52.8
42101015600,16.5,40.1,23031,34591,3.1,46.6
42101015700,10.1,32.8,38991,49039,6.7,12.7
42101015800,10.9,27.5,56989,72414,0,10.7
42101016000,12.2,21.7,50906,66410,1.1,5.2
42101016100,17.1,24.9,46174,63725,0,24.2
42101016200,16.7,31.6,21765,35579,16,44.1
42101016300,18.8,19.7,14017,26288,2.2,55.6
42101016400,18.9,22.6,16222,24961,5.7,46.4
42101016500,27.9,26.9,14760,25915,0,60.1
42101016600,18.7,42.8,13807,26521,3,29.3
42101016701,34.9,56.5,19647,35218,0,40.9
42101016702,13.8,57,20230,25486,16.7,30.5
42101016800,17.5,41.8,17250,29206,0,36.2
42101016901,27.4,38,29202,36635,9.3,22.3
42101016902,13.3,49.9,24802,33938,0,37.1
42101017000,9.2,24.3,36275,46630,0,22
42101017100,10.4,37.3,30647,37791,2.8,14
42101017201,12,28.1,27217,40928,3.9,20
42101017202,14.2,22.2,15731,22536,6.6,34.1
42101017300,7.6,43.9,23479,35115,0,32
42101017400,27.9,40.5,22625,28559,0,42.5
42101017500,31.1,36.5,17708,28274,0,56
42101017601,16,26.8,17855,28367,8.5,54.4
42101017602,22,26.4,18329,24329,1,56.3
42101017701,33.5,45.5,21589,27392,7.1,44.9
42101017702,21.8,47.6,16604,29497,0.5,55.8
42101017800,22.2,37.1,24975,25975,11.9,52.4
42101017900,30.3,19.7,31197,35021,2.4,29
42101018001,8.7,11.7,57981,70446,0,17.4
42101018002,12.2,16.6,39479,56011,0,21
42101018300,14.4,10.3,59063,69097,2.7,12.4
42101018400,8.8,15.9,50321,63838,3.3,7.1
